inmate_id,sponsor_id
141217,3376
148246,1882
151552,3484
153592,3628
135155,3850
155470,3994
155467,3817
154129,4108
156673,4171
125933,41
128378,221
117278,401
122303,1831
130571,59
130400,749
130478,803
131180,59
120719,968
131786,47
132107,740
124457,167
130832,1142
132908,986
87292,41
133316,1211
133550,986
133874,986
134189,194
134186,1349
97012,1370
120083,383
135176,1379
135239,1406
135881,194
136660,992
136325,1573
137581,266
137953,1831
138130,1627
138544,1244
106031,1660
139183,41
138436,602
139813,194
140131,1532
140335,1696
140464,1831
140671,1532
141217,1813
140497,1286
141277,1837
142588,194
142576,1379
143644,1927
144010,194
141529,1969
144409,1975
144433,1990
144826,2029
145222,1532
145393,1532
145474,1532
145732,1642
145864,2161
146560,1028
146719,1882
146917,2227
147298,1882
147439,1642
147631,1882
130382,2383
148432,2497
128378,2539
140605,2539
130382,2665
149476,2722
149476,2800
143071,2866
148360,125
141217,3064
141217,3145
141217,3265
148381,3355
80867,1873
153592,3607
135155,3682
150226,3829
130382,3901
155470,1226
156673,4153
135023,11359
213682,11602
216262,11686
209602,11761
213682,11905
213682,11977
218224,12085
209602,12295
209602,12367
209602,12454
220603,12667
213682,12778
209602,12838
209602,12907
209602,12988
174331,10414
209602,13126
175909,11395
213682,13399
223861,13483
220603,13546
220603,13687
209602,13753
209602,13819
209602,13900
187120,8014
209602,14164
225844,14263
209602,14323
209602,14401
209602,14482
224731,13387
209602,14626
209602,14707
229603,14764
157417,14881
220603,15007
209602,15073
165514,15205
165514,15268
230224,15340
232855,15463
157417,15505
233710,15571
165514,15703
209602,15754
209602,15958
224119,6097
213682,16234
213682,16315
157417,16390
209602,16447
233776,16531
165514,16603
165514,16666
209602,16738
157417,16873
165514,17020
165514,17110
157417,17164
157417,17224
220603,17305
209602,17494
157417,17620
209602,17689
237874,17800
220603,17869
209602,17980
157417,18013
237874,15043
237874,17863
220603,18178
254302,18232
209107,18283
225844,18451
105569,4240
156673,4315
142159,4315
158170,4507
144901,4546
148507,4609
135155,4678
135155,4738
157741,416
157129,4153
162067,5035
163288,5089
148507,5146
163516,5209
163777,5266
148507,5326
146635,3607
163288,5518
130385,5056
164326,5461
148507,5824
167887,5956
148507,6010
148507,6082
148258,6208
148507,6274
169777,5056
167749,6394
148507,6466
163777,1496
148507,6571
153478,6643
163777,6736
163777,6799
148507,6868
148507,7009
148507,7087
169309,2509
148507,7240
174001,7468
168442,7525
175909,7594
174037,7654
148507,7780
174016,1391
148507,7960
148507,8032
148507,8257
174001,8293
174037,8227
174001,2029
163777,8014
183616,8647
186511,8791
163777,8911
178516,6955
187180,9145
187180,9226
164752,9448
196348,9526
164752,9658
175417,9736
164752,9814
164752,9985
180322,10138
164752,10225
207124,10279
200368,10378
208738,10459
210382,10603
209602,10780
209602,10864
209602,10927
209602,10990
209602,11065
211597,3613
209602,11203
161986,11062
209602,11353
