course_id,title,language,lesson_count,total_page_count,total_page_item_count,content_tags
4292,Chapter 1 Section 5: Case Records Management and Good Time - MT DOC Policy & Procedure,en-US,10,10,20,"Dawson_County_Only,Information,LI_MT_DOC_only,Lewiston_MT_DOC_only,MSP_MT_DOC_only,MWP_MT_DOC_only,PINEHILLS_MT_DOC_ONLY,Resources,Restricted_Visibility,Riverside_MT_DOC_only"
4279,Chap 1 - 3 P&P for Adult Community Corrections Division,en-US,10,21,42,"Dawson_County_Only,Information,MSP_MT_DOC_only,MWP_MT_DOC_only,PINEHILLS_MT_DOC_ONLY,Resources,Restricted_Visibility,Riverside_MT_DOC_only"
3994,SCF - Fiscal Management,en-US,7,7,14,"Information,Resources,Restricted_Visibility,STOCKTON_KDOC_ONLY"
4062,EDCF - Fiscal Management,en-US,6,6,12,"EL_DORADO_KDOC_ONLY,Information,Resources,Restricted_Visibility"
4048,SCF - Offender Rules and Discipline ,en-US,11,13,41,"Information,Resources,Restricted_Visibility,STOCKTON_KDOC_ONLY"
2786,Offender Corrections,en-US,9,590,1566,"Anger_Management,Assessment_Reflection,Attitude,Audio_Exercise,Content_Performance,Coping,Course_Length_2,Earn,Learn,Life,Making_Changes,Motivation,Personal_Development,Personal_Growth,Picture_Media,Reentry_Community,Text_Item,Time_Completion_Medium,Video_Item"
3337,"Basic Principles of Morality - The Sources of Morality - Part III, Course 3",en-US,6,14,55,"Bible,CDU,COURSE,Catholic,Earn,Learn,Life,Religion,Religion_Spirituality,Religious,Religious_Study,Spiritual,Spirituality"
2980,Michigan Commercial Driver's Licence Practice Test,en-US,9,329,362,"CDL,COURSE,Commercial_Driver's_License,Driving,Earn,Job_Skills,Jobs,Jobs_Finance,Learn,Outcome_Certificate,Reentry_Community,Restricted_Visibility,State_Specific_Course,Test_Prep"
2992,Vermont Commercial Driver's Licence Practice Test,en-US,9,329,362,"Assessment_Mult_Choice,CDL,COURSE,Commercial_Driver's_License,Content_Performance,Course_Length_2,Driving,Earn,Job,Job_Skills,Jobs_Finance,Learn,Level_Intermediate,Outcome_Certificate,PDF_Reading,Reentry_Community,Restricted_Visibility,State_Specific_Course,Test_Prep,Text_Item,Time_Completion_Medium"
4206,Profesión de Fe - Lección Cinco: Sección Tres,en-US,9,39,113,"CDU,Earn,Learn,Life,Religion,Religion_Spirituality,Religious_Study,Spirituality"
641,Anger Management ,en-US,9,53,142,"Earn,Learn"
3929,"OCF - Communication, Mail and Visitation",en-US,6,6,18,"Information,OSWEGO_KDOC_ONLY,Resources,Restricted_Visibility"
1387,Alabama Commercial Driver's License Test,en-US,9,330,360,"CDL,COURSE,Career_Exploration,Commercial_Driver's_License,Driving,Earn,Job_Skills,Jobs,Jobs_Finance,Learn,Outcome_Certificate,Reentry_Community,Restricted_Visibility,State_Specific_Course,Test_Prep,Text_Item,Time_Completion_Medium"
4320,Chapter 5 Section 6: Religious Programs - MT DOC Policy & Procedure,en-US,2,2,4,"Information,LI_MT_DOC_only,Lewiston_MT_DOC_only,MSP_MT_DOC_only,MWP_MT_DOC_only,PINEHILLS_MT_DOC_ONLY,Resources,Restricted_Visibility,Riverside_MT_DOC_only"
1941,Staying Healthy for Beginners,en-US,5,35,180,"Abuse,Assessment_Mult_Choice,Assessment_Short_Answer,Content_Performance,Course_Length_1,Diet,Doctor,Earn,Health,Health_Recovery,Learn,Life,Medicine,Menopause,Menstruation,Nutrition,PDF_Reading,Periods,Physical_Health,Picture_Media,Text_Item,Time_Completion_Low,Video_Item,Wellness"
1544,July 14 Math Test,en-US,4,19,89,"Earn,Learn"
4274,"Chap 20, 40, 50 & 70  P& P for Probation & Parole Division",en-US,5,11,22,"Dawson_County_Only,Information,MSP_MT_DOC_only,MWP_MT_DOC_only,PINEHILLS_MT_DOC_ONLY,Resources,Restricted_Visibility,Riverside_MT_DOC_only"
4347,"Redemptoris Mater: Five Stages of Mary’s History, Lesson 4",en-US,6,14,83,"CDU,Earn,Learn,Religion,Religion_Spirituality,Religious_Study,Spirituality"
1391,DRAFT Reading Roots 5: Read with a Plan,en-US,3,5,13,"Earn,Learn"
3931,OCF - Classification,en-US,1,1,2,"Information,OSWEGO_KDOC_ONLY,Resources,Restricted_Visibility"
3208,Pine Hills PREA English,en-US,1,1,1,"COURSE,Information,PINEHILLS_MT_DOC_ONLY,Resources,Restricted_Visibility"
901,Social Studies - Geography ,en-US,7,64,194,"Academic,Assessment_Mult_Choice,COURSE,Content_Performance,Course_Length_2,Earn,Emigration,GED,GED_prep,Geography,Immigration,Learn,Level_Intermediate,Level_Literacy_3,Nations,PDF_Reading,Picture_Media,Populations,Social_Studies,Text_Item,Time_Completion_Medium,no_edovogo"
2252,Kane County Law Library & Self Help Legal Center,en-US,1,1,1,"KANE_COUNTY_ONLY,Resources,Restricted_Visibility"
3823,Chatham County: New Rules Notification(s),en-US,1,1,2,Restricted_Visibility
2249,Kane County Adult Justice Center - Detainee Handbook,en-US,2,2,2,"Information,KANE_COUNTY_ONLY,Resources,Restricted_Visibility"
