course_id,title,language,lesson_count,total_page_count,total_page_item_count,content_tags
4041,LCMHF  - Religious Services,en-US,2,2,8,"Information-2071,LARNED_KDOC_ONLY-3574,Resources-2437,Restricted_Visibility-2077"
4475,State of Montana Drivers License Manual 2018,en-US,1,1,2,"COURSE-37,Driver's_License-1919,Driving-860,Facility-1184,LI_MT_DOC_only-3557,Lewiston_MT_DOC_only-3603,MSP_MT_DOC_only-3559,MWP_MT_DOC_only-3560,PINEHILLS_MT_DOC_ONLY-3587,Resources-2437,Restricted_Visibility-2077,Riverside_MT_DOC_only-3558"
4122,Ephesians: Grace Changes Marriage,en-US,1,1,2,"Church-1427,Earn-995,Greensboro_Sermons-2011,Life-872,Restricted_Visibility-2077,Spirituality-971,Video_Sermons-1394,Watch-617,guilford_only-3581"
3995,SCF - Human Resources,en-US,3,3,6,"Information-2071,Resources-2437,Restricted_Visibility-2077,STOCKTON_KDOC_ONLY-3566"
1255,Post-Test: Social Studies (CDN),en-US,1,50,97,"Earn-995,Learn-524"
3866,TCF - Offender Work Programs,en-US,2,2,4,"Information-2071,Resources-2437,Restricted_Visibility-2077,TCF_KDOC_ONLY-3549"
1157,ABC,en-US,1,2,3,"Earn-995,Learn-524"
3867,TCF - Academic and Vocational Programs ,en-US,1,1,2,"Information-2071,Resources-2437,Restricted_Visibility-2077,TCF_KDOC_ONLY-3549"
1908,sdf,en-US,1,8,8,"Earn-995,Learn-524"
3226,MONTANA DEPARTMENT OF CORRECTIONS MARTZ DIAGNOSTIC & INTAKE UNIT,en-US,1,1,1,"COURSE-37,Content_Reference-2233,Course_Length_1-2263,Earn-995,Learn-524,Legal-1178,Level_All-2251,Manual-1286,PDF_Reading-2167,Reentry_Community-2155,Resources-2437,Restricted_Visibility-2077,State_Specific_Course-1525,Time_Completion_Low-2311"
3505,Relaxation,en-US,1,6,22,Restricted_Visibility-2077
4305,Chapter 3 Sections 6: Executions - MT DOC Policy & Procedure,en-US,2,2,4,"Information-2071,LI_MT_DOC_only-3557,Lewiston_MT_DOC_only-3603,MSP_MT_DOC_only-3559,MWP_MT_DOC_only-3560,PINEHILLS_MT_DOC_ONLY-3587,Resources-2437,Restricted_Visibility-2077,Riverside_MT_DOC_only-3558"
4128,Ruth: Awaiting a Willing and Able Redeemer,en-US,1,1,2,"Church-1427,Earn-995,Greensboro_Sermons-2011,Life-872,Restricted_Visibility-2077,Spirituality-971,Video_Sermons-1394,Watch-617,guilford_only-3581"
1253,Pre-Test: Social Studies (CDN),en-US,1,50,108,"Earn-995,Learn-524"
3900,"ECF - Communication, Mail and Visitation",en-US,1,1,1,"ELLSWORTH_KDOC_ONLY-3562,Information-2071,Resources-2437,Restricted_Visibility-2077"
4294,Chapter 1 Section 8: Victim Services - MT DOC Policy & Procedure,en-US,2,2,4,"Dawson_County_Only-3626,Information-2071,LI_MT_DOC_only-3557,Lewiston_MT_DOC_only-3603,MSP_MT_DOC_only-3559,MWP_MT_DOC_only-3560,PINEHILLS_MT_DOC_ONLY-3587,Resources-2437,Restricted_Visibility-2077,Riverside_MT_DOC_only-3558"
4249,Medication Assisted Treatment,en-US,1,1,1,"Earn-995,Health_Recovery-2149,Information-2071,MAINE_DOC_ONLY-3577,Physical_Health-2458,Resources-2437,Restricted_Visibility-2077"
4399,Sacred Texts,en-US,48,378,756,"COURSE-37,Earn-995,Learn-524,MSP_MT_DOC_only-3559,MWP_MT_DOC_only-3560,PINEHILLS_MT_DOC_ONLY-3587,Religious_Study-2596,Restricted_Visibility-2077,Spirituality-971,sacred_texts-3553"
2428,Prisoner Reentry Network: Part I,en-US,8,58,152,"COURSE-37,CV-2005,Earn-995,Facility_Prison-2284,Incarceration-869,Inspiration-176,Job-221,Job_Search-488,Job_Skills-734,Job_Tips-1298,Jobs-1127,Jobs_Finance-635,Learn-524,Life-872,Motivation-752,Personal_Growth-2593,Prison-1343,Reentry-116,Reentry_Community-2155,Resume-2002,Time_Completion_Low-2311,Workplace_Skills-2431,demo_content-3573"
1023,Principles of Management ,en-US,42,295,711,"Academic-437,Assessment_Mult_Choice-2203,Audio_Exercise-2179,Business-341,COURSE-37,College-1055,College_Credit-2272,Content_Performance-2230,Course_Length_3-2269,Earn-995,Human_Resources-2992,Job_Skills-734,Jobs-1127,Jobs_Finance-635,Leadership-677,Learn-524,Level_Advanced-2260,Level_Literacy_4-2248,Management-2683,PDF_Reading-2167,Text_Item-2161,Time_Completion_High-2317,Video_Item-2185,Workplace_Skills-2431,no_kdoc-3548"
925,Science - Physical Science,en-US,12,154,457,"Academic-437,Assessment_Mult_Choice-2203,COURSE-37,Content_Performance-2230,Course_Length_2-2266,Earn-995,Energy-2368,GED-77,GED_prep-3595,Heat-2374,Learn-524,Level_Intermediate-2257,Level_Literacy_3-2245,Machines-3316,Matter-3340,NO_GRIMES_AR_DOC-3597,PDF_Reading-2167,Physical_Science-2365,Physics-431,Picture_Media-2188,Science-1043,Speed_Motion-2380,Temperature-3007,Text_Item-2161,Time_Completion_Medium-2314,Velocity-3268,Waves_Sound_Light-2371"
4287,News Inside - Issue 2,en-US,3,14,21,"Restricted_Visibility-2077,TMP-3620"
4222,"Intro to Scripture and the Gospel Message, Lesson 2",en-US,11,49,133,"CDU-3575,Earn-995,Learn-524,Religion-1040,Religion_Spirituality-449,Religious_Study-2596,Spirituality-971"
