id,user_id,facility_id,created_at,updated_at
112048,3552,686,2019-06-06 08:18:25.308,2019-06-06 08:18:25.308
112339,3572,289,2019-06-13 06:57:47.581,2019-06-13 06:57:47.581
114613,814,607,2019-07-07 18:34:46.033,2019-07-07 18:34:46.033
115117,2786,689,2019-07-09 12:14:45.618,2019-07-09 12:14:45.618
115294,1507,613,2019-07-16 12:02:53.707,2019-07-16 12:02:53.707
115760,3641,696,2019-07-26 09:16:46.014,2019-07-26 09:16:46.014
116807,2801,667,2019-08-02 11:55:45.076,2019-08-02 11:55:45.076
116837,3570,664,2019-08-02 11:56:42.593,2019-08-02 11:56:42.593
116867,3304,619,2019-08-02 16:49:13.801,2019-08-02 16:49:13.801
116910,3302,664,2019-08-02 16:50:56.843,2019-08-02 16:50:56.843
116940,3303,667,2019-08-02 17:32:25.31,2019-08-02 17:32:25.31
116970,3449,667,2019-08-02 17:52:40.855,2019-08-02 17:52:40.855
117020,3078,24,2019-08-02 17:58:09.002,2019-08-02 17:58:09.002
117050,3284,637,2019-08-02 18:00:12.941,2019-08-02 18:00:12.941
117080,2803,649,2019-08-02 18:01:17.721,2019-08-02 18:01:17.721
118620,2799,514,2019-08-15 09:43:28.408,2019-08-15 09:43:28.408
118650,2799,7,2019-08-15 09:43:28.457,2019-08-15 09:43:28.457
118680,2799,646,2019-08-15 09:43:28.504,2019-08-15 09:43:28.504
118710,2799,466,2019-08-15 09:43:28.552,2019-08-15 09:43:28.552
118740,2799,178,2019-08-15 09:43:28.60,2019-08-15 09:43:28.60
118770,2799,427,2019-08-15 09:43:28.647,2019-08-15 09:43:28.647
118806,1531,701,2019-08-16 13:16:08.731,2019-08-16 13:16:08.731
118836,1531,370,2019-08-16 13:16:08.782,2019-08-16 13:16:08.782
118866,1531,673,2019-08-16 13:16:08.834,2019-08-16 13:16:08.834
118896,1531,550,2019-08-16 13:16:08.885,2019-08-16 13:16:08.885
118926,1531,689,2019-08-16 13:16:08.939,2019-08-16 13:16:08.939
118959,49,138,2019-08-19 17:29:39.917,2019-08-19 17:29:39.917
118989,49,173,2019-08-19 17:29:39.967,2019-08-19 17:29:39.967
119350,472,117,2019-08-21 12:03:33.94,2019-08-21 12:03:33.94
120544,3524,693,2019-09-05 20:16:08.657,2019-09-05 20:16:08.657
120743,3425,523,2019-09-11 11:31:11.978,2019-09-11 11:31:11.978
120773,3425,35,2019-09-11 11:31:12.027,2019-09-11 11:31:12.027
120803,3425,682,2019-09-11 11:31:12.075,2019-09-11 11:31:12.075
120833,3425,690,2019-09-11 11:31:12.124,2019-09-11 11:31:12.124
120891,3755,123,2019-09-13 11:43:11.925,2019-09-13 11:43:11.925
123186,2793,682,2019-09-20 16:21:06.49,2019-09-20 16:21:06.49
123235,3828,694,2019-09-20 18:54:42.607,2019-09-20 18:54:42.607
123266,2791,673,2019-09-23 14:33:16.357,2019-09-23 14:33:16.357
124518,1366,310,2019-09-25 14:45:41.778,2019-09-25 14:45:41.778
125426,3636,690,2019-10-01 09:26:53.958,2019-10-01 09:26:53.958
125578,1132,138,2019-10-01 09:29:09.918,2019-10-01 09:29:09.918
125650,1081,700,2019-10-01 09:29:55.388,2019-10-01 09:29:55.388
125704,896,138,2019-10-01 09:30:59.869,2019-10-01 09:30:59.869
125759,566,493,2019-10-01 09:31:32.299,2019-10-01 09:31:32.299
126704,2622,667,2019-10-14 17:24:01.707,2019-10-14 17:24:01.707
127191,4030,340,2019-10-17 12:30:26.914,2019-10-17 12:30:26.914
127635,2467,505,2019-10-23 16:46:32.425,2019-10-23 16:46:32.425
127665,2467,406,2019-10-23 16:46:32.477,2019-10-23 16:46:32.477
127695,2467,649,2019-10-23 16:46:32.528,2019-10-23 16:46:32.528
127725,2467,475,2019-10-23 16:46:32.581,2019-10-23 16:46:32.581
127755,2467,427,2019-10-23 16:46:32.632,2019-10-23 16:46:32.632
128827,572,283,2019-11-14 15:33:11.068,2019-11-14 15:33:11.068
129657,3479,529,2019-11-18 18:12:37.434,2019-11-18 18:12:37.434
129687,3479,99,2019-11-18 18:12:37.486,2019-11-18 18:12:37.486
129717,3479,646,2019-11-18 18:12:37.537,2019-11-18 18:12:37.537
129747,3479,454,2019-11-18 18:12:37.588,2019-11-18 18:12:37.588
129777,3479,532,2019-11-18 18:12:37.64,2019-11-18 18:12:37.64
130160,3650,695,2019-11-20 13:09:21.884,2019-11-20 13:09:21.884
130849,3671,701,2019-11-22 09:58:19.853,2019-11-22 09:58:19.853
130879,3671,683,2019-11-22 09:58:19.904,2019-11-22 09:58:19.904
130909,3671,217,2019-11-22 09:58:19.955,2019-11-22 09:58:19.955
130940,4119,460,2019-11-27 10:27:54.262,2019-11-27 10:27:54.262
